date,count
2014-09-20,229
2014-09-21,271
2014-09-22,289
2014-09-23,263
2014-09-24,242
2014-09-25,195
2014-09-26,145
2014-09-27,157
2014-09-28,179
2014-09-29,192
2014-09-30,209
2014-10-01,215
2014-10-02,211
2014-10-03,187
2014-10-04,176
2014-10-05,180
2014-10-06,249
2014-10-07,223
2014-10-08,209
2014-10-09,210
2014-10-10,179
2014-10-11,178
2014-10-12,160
2014-10-13,167
2014-10-14,176
2014-10-15,153
2014-10-16,152
2014-10-17,153
2014-10-18,156
2014-10-19,222
2014-10-20,200
2014-10-21,188
2014-10-22,168
2014-10-23,174
2014-10-24,173
2014-10-25,192
2014-10-26,187
2014-10-27,215
2014-10-28,218
2014-10-29,216
2014-10-30,227
2014-10-31,185
2014-11-01,181
2014-11-02,197
2014-11-03,235
2014-11-04,231
2014-11-05,216
2014-11-06,229
2014-11-07,203
2014-11-08,207
2014-11-09,203
2014-11-10,243
2014-11-11,254
2014-11-12,234
2014-11-13,228
2014-11-14,233
2014-11-15,249
2014-11-16,271
2014-11-17,256
2014-11-18,253
2014-11-19,235
2014-11-20,256
2014-11-21,228
2014-11-22,240
2014-11-23,248
2014-11-24,238
2014-11-25,207
2014-11-26,186
2014-11-27,187
2014-11-28,206
2014-11-29,189
2014-11-30,270
2014-12-01,286
2014-12-02,249
2014-12-03,182
2014-12-04,180
2014-12-05,196
2014-12-06,190
2014-12-07,212
2014-12-08,246
2014-12-09,253
2014-12-10,222
2014-12-11,191
2014-12-12,206
2014-12-13,184
2014-12-14,190
2014-12-15,206
2014-12-16,203
2014-12-17,226
2014-12-18,223
2014-12-19,244
2014-12-20,214
2014-12-21,243
2014-12-22,295
2014-12-23,265
2014-12-24,281
2014-12-25,272
2014-12-26,283
2014-12-27,291
2014-12-28,301
2014-12-29,294
2014-12-30,313
2014-12-31,301
2015-01-01,303
2015-01-02,319
2015-01-03,312
2015-01-04,337
2015-01-05,363
2015-01-06,312
2015-01-07,324
2015-01-08,225
2015-01-09,253
2015-01-10,246
2015-01-11,233
2015-01-12,285
2015-01-13,272
2015-01-14,263
2015-01-15,264
2015-01-16,273
2015-01-17,248
2015-01-18,268
2015-01-19,330
2015-01-20,273
2015-01-21,261
2015-01-22,257
2015-01-23,240
2015-01-24,217
2015-01-25,223
2015-01-26,260
2015-01-27,274
2015-01-28,238
2015-01-29,240
2015-01-30,260
2015-01-31,237
2015-02-01,236
2015-02-02,287
2015-02-03,297
2015-02-04,248
2015-02-05,259
2015-02-06,245
2015-02-07,228
2015-02-08,249
2015-02-09,282
2015-02-10,281
2015-02-11,271
2015-02-12,283
2015-02-13,294
2015-02-14,244
2015-02-15,250
2015-02-16,269
2015-02-17,288
2015-02-18,271
2015-02-19,283
2015-02-20,246
2015-02-21,234
2015-02-22,242
2015-02-23,265
2015-02-24,294
2015-02-25,316
2015-02-26,298
2015-02-27,282
2015-02-28,303
2015-03-01,300
2015-03-02,345
2015-03-03,337
2015-03-04,337
2015-03-05,356
2015-03-06,261
2015-03-07,287
2015-03-08,294
2015-03-09,299
2015-03-10,276
2015-03-11,266
2015-03-12,290
2015-03-13,277
2015-03-14,315
2015-03-15,298
2015-03-16,311
2015-03-17,308
2015-03-18,310
2015-03-19,324
2015-03-20,320
2015-03-21,277
2015-03-22,285
2015-03-23,302
2015-03-24,297
2015-03-25,299
2015-03-26,292
2015-03-27,272
2015-03-28,261
2015-03-29,270
2015-03-30,267
2015-03-31,266
2015-04-01,256
2015-04-02,274
2015-04-03,275
2015-04-04,266
2015-04-05,268
2015-04-06,283
2015-04-07,319
2015-04-08,313
2015-04-09,306
2015-04-10,275
2015-04-11,282
2015-04-12,266
2015-04-13,290
2015-04-14,297
2015-04-15,297
2015-04-16,324
2015-04-17,338
2015-04-18,345
2015-04-19,352
2015-04-20,401
2015-04-21,309
2015-04-22,292
2015-04-23,288
2015-04-24,293
2015-04-25,277
2015-04-26,296
2015-04-27,304
2015-04-28,278
2015-04-29,260
2015-04-30,273
2015-05-01,264
2015-05-02,266
2015-05-03,274
2015-05-04,288
2015-05-05,269
2015-05-06,284
2015-05-07,298
2015-05-08,273
2015-05-09,265
2015-05-10,252
2015-05-11,244
2015-05-12,232
2015-05-13,208
2015-05-14,226
2015-05-15,229
2015-05-16,246
2015-05-17,242
2015-05-18,277
2015-05-19,280
2015-05-20,308
2015-05-21,299
2015-05-22,296
2015-05-23,302
2015-05-24,277
2015-05-25,293
2015-05-26,297
2015-05-27,335
2015-05-28,333
2015-05-29,346
2015-05-30,307
2015-05-31,335
2015-06-01,329
2015-06-02,356
2015-06-03,340
2015-06-04,351
2015-06-05,334
2015-06-06,320
2015-06-07,341
2015-06-08,390
2015-06-09,373
2015-06-10,365
2015-06-11,328
2015-06-12,320
2015-06-13,290
2015-06-14,317
2015-06-15,325
2015-06-16,296
2015-06-17,254
2015-06-18,234
2015-06-19,235
2015-06-20,228
2015-06-21,228
2015-06-22,239
2015-06-23,271
2015-06-24,298
2015-06-25,322
2015-06-26,297
2015-06-27,276
