ChangeId,FilesChanged,TotalLinesInserted,TotalLinesDeleted,LastRevisionId,HasExtension,OnlySource,OnlyDocumentation,ContainsSource
413,1,3,0,413,1,1,0,1
414,22,1,434,414,1,1,0,1
415,22,1,434,415,1,1,0,1
416,1,22,49,416,1,1,0,1
417,1,22,49,417,1,1,0,1
418,1,22,49,418,1,1,0,1
419,1,22,49,419,1,1,0,1
420,1,22,49,420,1,1,0,1
421,1,22,49,421,1,1,0,1
422,8,52,15,422,1,1,0,1
423,8,52,15,423,1,1,0,1
424,28,153,130,424,1,1,0,1
425,28,126,140,425,1,1,0,1
426,28,154,131,426,1,1,0,1
427,28,154,131,427,1,1,0,1
428,27,120,131,428,1,1,0,1
429,28,151,128,429,1,1,0,1
430,27,120,131,430,1,1,0,1
431,1,3,30,431,1,1,0,1
432,1,3,30,432,1,1,0,1
433,1,13,4,433,1,1,0,1
434,1,13,4,434,1,1,0,1
435,1,3,0,435,1,1,0,1
436,1,3,0,436,1,1,0,1
437,2,12,0,437,1,0,1,0
438,2,12,0,438,1,0,1,0
439,2,12,0,439,1,0,1,0
440,2,12,0,440,1,0,1,0
441,4,16,6,441,1,1,0,1
442,4,16,6,442,1,1,0,1
443,6,22,19,443,1,1,0,1
444,6,22,19,444,1,1,0,1
445,1,4,1,445,1,1,0,1
446,1,4,1,446,1,1,0,1
447,2,41,31,447,1,1,0,1
448,2,41,31,448,1,1,0,1
449,2,13,3,449,1,1,0,1
450,2,13,3,450,1,1,0,1
451,4,24,7,451,1,1,0,1
452,4,24,7,452,1,1,0,1
453,5,47,17,453,1,1,0,1
454,5,47,17,454,1,1,0,1
455,5,3,35,455,1,1,0,1
456,5,3,35,456,1,1,0,1
457,5,27,11,457,1,1,0,1
458,5,27,11,458,1,1,0,1
459,8,29,25,459,1,1,0,1
460,8,29,25,460,1,1,0,1
461,1,0,6,461,1,1,0,1
462,1,0,6,462,1,1,0,1
463,13,328,239,463,1,1,0,1
464,13,328,239,464,1,1,0,1
465,1,24,20,465,1,1,0,1
466,1,24,20,466,1,1,0,1
467,1,20,6,467,1,1,0,1
468,1,20,6,468,1,1,0,1
469,1,9,5,469,1,1,0,1
470,1,9,5,470,1,1,0,1
471,4,27,29,471,1,1,0,1
472,4,27,29,472,1,1,0,1
473,2,4,8,473,1,1,0,1
474,2,4,8,474,1,1,0,1
475,1,38,7,475,1,1,0,1
476,1,38,7,476,1,1,0,1
477,1,10,8,477,1,1,0,1
478,1,10,8,478,1,1,0,1
479,5,178,33,479,1,0,1,0
480,5,178,33,480,1,0,1,0
481,2,29,29,481,1,1,0,1
482,2,29,29,482,1,1,0,1
483,2,29,29,483,1,1,0,1
484,1,1,3,484,1,1,0,1
485,1,1,3,485,1,1,0,1
486,1,1,1,486,1,1,0,1
487,1,1,1,487,1,1,0,1
488,2,31,1,488,1,1,0,1
489,2,31,1,489,1,1,0,1
490,2,31,1,490,1,1,0,1
491,2,31,1,491,1,1,0,1
492,1,1,1,492,1,1,0,1
493,1,1,1,493,1,1,0,1
494,1,1,1,494,1,1,0,1
495,1,1,1,495,1,1,0,1
496,1,10,10,496,1,1,0,1
497,1,10,10,497,1,1,0,1
498,2,2,2,498,1,1,0,1
499,2,2,2,499,1,1,0,1
500,18,68,21,500,1,1,0,1
